Loop_Date,Ativo,Entradas,Acuracia,Lucro_medio,Lucro_Max,Drowndown_max,Saldo,Rastreador,Gatilho,Ultimos3,Am1,Am2,Amanha,Operou_Dia,Close_D0,Gatilho_Dia,PNL,PNL_per_Entry
2024-10-11,SMTO3,36,0.75,1.26,5.61,-3.72,59913.0,SMTO3_Down_1_open_Afastado_-0.5_Sell_Corpo,26.44,1.0,0.75,0.75,1,False,25.94,26.44,0.5,0.013888888888888888
2024-10-11,ORVR3,31,0.77,1.21,3.72,-4.23,60857.0,ORVR3_Up_0.5_low_Afastado_-1_Buy_Movimento,44.88,0.75,0.77,0.77,1,False,45.32,44.88,0.4399999999999977,0.0141935483870967
2024-10-11,GGBR4,27,0.78,1.19,3.13,-2.82,61610.0,GGBR4_Up_0.5_low_Afastado_-1_Sell_Movimento,18.27,1.0,0.78,0.78,1,True,17.9,18.27,0.370000000000001,0.01370370370370374
2024-10-11,CSAN3,27,0.74,1.13,2.03,-3.06,58346.0,CSAN3_Up_1.5_close_Afastado_0_Sell_Corpo,12.48,0.75,0.74,0.74,1,False,12.1,12.48,0.3800000000000008,0.014074074074074103
2024-10-14,MRFG3,11,0.82,2.03,6.33,-4.31,58531.0,MRFG3_Down_2_open_Afastado_-1_Buy_Corpo,11.15,1.0,0.82,0.82,1,True,11.29,11.15,0.1399999999999988,0.012727272727272617
2024-10-14,MATD3,35,0.71,2.0,5.73,-4.51,67892.0,MATD3_Down_0.5_opendia_Afastado_0.5_Buy_GAP,opendia_0.005,1.0,0.71,0.71,1,False,4.31,4.4019,-0.0918999999999998,-0.00262571428571428
2024-10-14,MYPK3,21,0.71,1.93,6.03,-4.42,60349.0,MYPK3_Up_2_open_Afastado_1_Sell_Corpo,10.03,0.75,0.71,0.71,1,False,10.49,10.03,-0.4600000000000008,-0.021904761904761944
2024-10-14,OPCT3,22,0.77,1.88,4.56,-1.56,65045.0,OPCT3_Up_1.5_open_Afastado_0.5_Buy_Corpo,6.72,1.0,0.77,0.77,1,False,6.93,6.72,0.2099999999999999,0.009545454545454541
2024-10-14,JHSF3,15,0.73,1.83,3.74,-2.92,58517.0,JHSF3_Down_2.5_opendia_Afastado_1_Buy_Corpo,opendia_0.01,1.0,0.73,0.73,1,True,4.09,4.0097000000000005,0.0802999999999993,0.005353333333333287
2024-10-14,BRFS3,20,0.75,1.52,5.32,-4.99,58009.0,BRFS3_Down_0.5_high_Afastado_0_Buy_Corpo,22.47,0.75,0.75,0.75,1,True,22.34,22.47,-0.129999999999999,-0.00649999999999995
2024-10-14,LOGG3,23,0.83,1.4,6.06,-4.25,60267.0,LOGG3_Down_1.5_close_Afastado_-1_Buy_Corpo,19.69,0.75,0.83,0.83,1,False,20.31,19.69,0.6199999999999974,0.026956521739130324
2024-10-14,DIRR3,34,0.71,1.28,5.84,-4.72,59243.0,DIRR3_Down_1.5_close_Afastado_0.5_Buy_Corpo,26.49,0.75,0.71,0.71,1,True,26.98,26.49,0.490000000000002,0.014411764705882412
2024-10-14,ORVR3,31,0.77,1.21,3.72,-4.23,60857.0,ORVR3_Up_0.5_low_Afastado_-1_Buy_Movimento,44.6,0.75,0.77,0.77,1,False,45.51,44.6,0.9099999999999966,0.029354838709677308
2024-10-14,ODPV3,48,0.71,1.1,5.49,-4.18,60248.0,ODPV3_Down_0.5_open_Afastado_1_Sell_Pavio,9.98,0.75,0.71,0.71,1,False,9.6,9.98,0.3800000000000008,0.007916666666666683
2024-10-15,SIMH3,19,0.74,2.86,5.15,-4.62,65145.0,SIMH3_Up_2_close_Afastado_1_Sell_Corpo,5.18,1.0,0.74,0.74,1,True,5.08,5.18,0.0999999999999996,0.005263157894736821
2024-10-15,MATD3,11,0.91,2.2,4.17,-2.53,60769.0,MATD3_Down_1_high_Afastado_0.5_Sell_Corpo,4.41,0.75,0.91,0.91,1,False,4.25,4.41,0.1600000000000001,0.014545454545454554
2024-10-15,VTRU3,16,0.88,2.17,4.36,-3.59,63976.0,VTRU3_Up_1_opendia_Afastado_-0.5_Sell_Corpo,opendia_-0.005,1.0,0.88,0.88,1,True,9.38,9.68135,0.3013499999999993,0.018834374999999955
2024-10-15,MRFG3,12,0.75,2.16,6.42,-4.9,58392.0,MRFG3_Up_0.5_low_Afastado_-1_Sell_Corpo,10.69,1.0,0.75,0.75,1,False,11.47,10.69,-0.7800000000000011,-0.0650000000000001
2024-10-15,JHSF3,12,0.75,1.95,4.18,-4.42,58551.0,JHSF3_Up_1.5_low_Afastado_1_Sell_Corpo,4.0,0.75,0.75,0.75,1,False,4.13,4.0,-0.1299999999999999,-0.010833333333333325
2024-10-15,MYPK3,21,0.71,1.93,6.03,-4.42,60349.0,MYPK3_Up_2_open_Afastado_1_Sell_Corpo,10.23,0.75,0.71,0.71,1,False,10.36,10.23,-0.129999999999999,-0.006190476190476143
2024-10-15,OPCT3,22,0.77,1.88,4.56,-1.56,65045.0,OPCT3_Up_1.5_open_Afastado_0.5_Buy_Corpo,6.81,1.0,0.77,0.77,1,False,6.97,6.81,0.1600000000000001,0.007272727272727277
2024-10-15,EVEN3,16,0.81,1.66,6.2,-2.28,59661.0,EVEN3_Up_0.5_low_Afastado_-0.5_Buy_Corpo,6.19,0.75,0.81,0.81,1,False,6.62,6.19,0.4299999999999997,0.026874999999999982
2024-10-15,PRNR3,23,0.78,1.65,4.96,-3.65,61680.0,PRNR3_Up_1_low_Afastado_0.5_Buy_Corpo,11.92,1.0,0.78,0.78,1,False,12.71,11.92,0.7900000000000009,0.034347826086956565
2024-10-15,BLAU3,26,0.77,1.6,3.65,-4.93,61621.0,BLAU3_Up_3_close_Afastado_-0.5_Sell_Corpo,13.35,0.75,0.77,0.77,1,True,12.95,13.35,0.4000000000000003,0.015384615384615396
2024-10-16,POSI3,15,0.73,2.24,4.25,-2.8,59896.0,POSI3_Down_0.5_open_Afastado_1_Sell_Movimento,5.82,1.0,0.73,0.73,1,True,5.75,5.82,0.0700000000000002,0.00466666666666668
2024-10-16,MATD3,11,0.91,2.2,4.17,-2.53,60769.0,MATD3_Down_1_high_Afastado_0.5_Sell_Corpo,4.37,0.75,0.91,0.91,1,True,4.34,4.37,0.0300000000000002,0.0027272727272727453
2024-10-16,PTBL3,11,0.82,2.17,6.22,-4.55,58701.0,PTBL3_Down_2_high_Afastado_-0.5_Buy_Corpo,4.96,1.0,0.82,0.82,1,False,4.67,4.96,-0.29,-0.026363636363636363
2024-10-16,MRFG3,12,0.75,2.16,6.42,-4.9,58392.0,MRFG3_Up_0.5_low_Afastado_-1_Sell_Corpo,11.18,1.0,0.75,0.75,1,False,11.47,11.18,-0.2900000000000009,-0.024166666666666742
2024-10-16,BRAV3,14,0.71,2.12,5.55,-4.61,58523.0,BRAV3_Up_2.5_close_Afastado_-1_Sell_Corpo,17.03,1.0,0.71,0.71,1,True,17.19,17.03,-0.1600000000000001,-0.011428571428571436
2024-10-16,SBFG3,13,0.85,1.98,5.33,-2.42,58967.0,SBFG3_Down_2_open_Afastado_0_Sell_Corpo,14.27,1.0,0.85,0.85,1,False,13.94,14.27,0.33,0.025384615384615387
2024-10-16,MTRE3,18,0.72,1.84,4.47,-4.58,58687.0,MTRE3_Down_0.5_low_Afastado_0.5_Sell_GAP,3.28,0.75,0.72,0.72,1,True,3.28,3.28,0.0,0.0
