Loop_Date,Ativo,Entradas,Acuracia,Lucro_medio,Lucro_Max,Drowndown_max,Saldo,Rastreador,Gatilho,Ultimos3,Am1,Am2,Amanha,Operou_Dia,Close_D0,Gatilho_Dia,PNL
2024-02-09,PCAR,28,0.79,0.99,4.33,-1.21,59964.0,PCAR_Down_0.5_high_Afastado_-1_Buy_GAP,105.17,0.75,0.79,0.79,1,True,106.01,105.17,0.8400000000000034
2024-02-09,FITB,18,0.72,1.78,5.18,-2.3,59954.0,FITB_Up_0.5_opendia_Afastado_0.5_Buy_Corpo,opendia_0.005,0.75,0.72,0.72,1,True,33.65,33.59715,0.0528499999999994
2024-02-09,SNPS,17,0.76,1.59,5.41,-3.09,59922.0,SNPS_Up_0.5_open_Afastado_-0.5_Sell_Movimento,560.43,1.0,0.76,0.76,1,False,575.3,560.43,-14.870000000000005
2024-02-09,SCHW,31,0.77,1.12,4.28,-2.57,59816.0,SCHW_Up_0.5_opendia_Afastado_-0.5_Buy_GAP,opendia_-0.005,1.0,0.77,0.77,1,False,63.37,62.2074,1.1625999999999976
2024-02-09,XYZ,17,0.82,1.52,5.73,-2.39,59793.0,XYZ_Down_0.5_high_Afastado_-0.5_Buy_GAP,69.07,0.75,0.82,0.82,1,True,66.88,69.07,-2.1899999999999977
2024-02-09,DHI,30,0.73,1.1,4.45,-4.71,59457.0,DHI_Up_0.5_opendia_Afastado_0_Buy_GAP,opendia_0.0,0.75,0.73,0.73,1,True,144.91,144.1,0.8100000000000023
2024-02-09,PRU,58,0.74,0.64,3.3,-3.23,59450.0,PRU_Down_0.5_opendia_Afastado_0_Buy_Pavio,opendia_0.0,0.75,0.74,0.72,1,True,105.58,107.52,-1.9399999999999977
2024-02-09,ABNB,22,0.73,1.39,4.76,-2.4,59358.0,ABNB_Up_0.5_opendia_Afastado_0.5_Buy_Movimento,opendia_0.005,1.0,0.73,0.73,1,True,147.6,146.5692,1.0307999999999993
2024-02-09,SPG,26,0.77,1.05,4.59,-2.21,59246.0,SPG_Down_0.5_close_Afastado_-1_Buy_GAP,142.66,0.75,0.77,0.77,1,False,146.93,142.66,4.27000000000001
2024-02-09,AXON,34,0.76,0.89,2.91,-2.14,59090.0,AXON_Up_0.5_opendia_Afastado_0_Buy_Movimento,opendia_0.0,1.0,0.76,0.76,1,True,270.98,270.82,0.160000000000025
2024-02-12,REGN,39,0.72,0.95,3.56,-2.02,67374.0,REGN_Up_0.5_close_Afastado_-0.5_Buy_Pavio,948.65,0.75,0.72,0.72,1,True,947.06,948.65,-1.5900000000000318
2024-02-12,UBER,44,0.77,1.24,5.04,-4.14,66233.0,UBER_Up_0.5_opendia_Afastado_-0.5_Buy_Pavio,opendia_-0.005,0.75,0.77,0.77,1,True,69.12,70.645,-1.5249999999999915
2024-02-12,WSM,34,0.71,1.43,5.88,-2.12,64177.0,WSM_Up_0.5_opendia_Afastado_0.5_Buy_Pavio,opendia_0.005,0.75,0.71,0.71,1,True,113.38,110.48969999999998,2.8903000000000105
2024-02-12,PANW,29,0.72,1.72,4.46,-3.74,64109.0,PANW_Up_0.5_opendia_Afastado_0_Buy_GAP,opendia_0.0,1.0,0.72,0.72,1,True,185.98,187.72,-1.740000000000009
2024-02-12,KKR,31,0.74,1.33,3.75,-2.68,62370.0,KKR_Up_0.5_close_Afastado_-0.5_Buy_Pavio,96.54,0.75,0.74,0.74,1,True,97.62,96.54,1.0799999999999983
2024-02-12,CBRE,35,0.71,1.27,4.85,-1.7,62174.0,CBRE_Up_0.5_opendia_Afastado_-0.5_Buy_GAP,opendia_-0.005,0.75,0.71,0.71,1,False,88.28,86.42569999999999,1.8543000000000092
2024-02-12,CRWD,26,0.81,1.37,2.68,-2.5,61688.0,CRWD_Up_0.5_close_Afastado_-1_Buy_GAP,326.05,0.75,0.81,0.81,1,True,321.29,326.05,-4.759999999999991
2024-02-12,LEN,28,0.75,1.24,3.33,-2.57,61269.0,LEN_Up_0.5_opendia_Afastado_-0.5_Buy_GAP,opendia_-0.005,1.0,0.75,0.75,1,False,157.91,152.80214999999998,5.107850000000013
2024-02-12,BX,26,0.73,1.45,5.79,-4.14,61232.0,BX_Up_0.5_opendia_Afastado_0_Buy_GAP,opendia_0.0,0.75,0.73,0.73,1,True,130.08,127.32,2.7600000000000193
2024-02-12,ROK,34,0.71,1.12,4.02,-1.96,60998.0,ROK_Up_0.5_opendia_Afastado_0_Buy_GAP,opendia_0.0,1.0,0.71,0.71,1,True,280.69,283.5,-2.8100000000000023
2024-02-12,ADSK,35,0.71,1.13,3.05,-2.23,60632.0,ADSK_Up_0.5_opendia_Afastado_0_Buy_Movimento,opendia_0.0,0.75,0.71,0.71,1,True,262.04,265.91,-3.8700000000000045
2024-02-12,GWW,15,0.73,1.32,5.94,-1.88,60477.0,GWW_Up_0.5_close_Afastado_-0.5_Buy_Corpo,954.21,0.75,0.73,0.73,1,True,947.21,954.21,-7.0
2024-02-12,PCAR,29,0.79,0.99,4.33,-1.21,60384.0,PCAR_Down_0.5_high_Afastado_-1_Buy_GAP,105.02,1.0,0.79,0.79,1,False,106.02,105.02,1.0
